omega,shear
0.3141592653589793,4.202303780887576E-6
0.6283185307179586,1.1956500272912689E-5
0.9424777960769379,2.396663521973941E-5
1.2566370614359172,4.009580847182437E-5
1.5707963267948966,5.906676179570966E-5
1.8849555921538759,8.049927948735626E-5
2.199114857512855,1.0430686465874258E-4
2.5132741228718345,1.3004580625703538E-4
2.827433388230814,1.5767639710112313E-4
3.141592653589793,1.8706312100615153E-4
3.4557519189487724,2.18489352322743E-4
3.7699111843077517,2.516829404652308E-4
4.084070449666731,2.868033388286007E-4
4.39822971502571,3.2364777150239077E-4
4.71238898038469,3.6146875391582174E-4
5.026548245743669,4.013079437311639E-4
5.340707511102648,4.427628461834255E-4
5.654866776461628,4.857110553869496E-4
5.969026041820607,5.301865509736647E-4
6.283185307179586,5.760330026040489E-4
